term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
ability|core English term used often in technical instructions and classroom communication about ability|A1|GSL|5000|noun|The students use ability while describing a lab task in English.|false
able|core English term used often in technical instructions and classroom communication about able|A1|GSL|4999|noun|The students use able while describing a lab task in English.|false
about|core English term used often in technical instructions and classroom communication about about|A1|GSL|4998|noun|The students use about while describing a lab task in English.|false
above|core English term used often in technical instructions and classroom communication about above|A1|GSL|4997|noun|The students use above while describing a lab task in English.|false
absence|core English term used often in technical instructions and classroom communication about absence|A1|GSL|4996|noun|The students use absence while describing a lab task in English.|false
absolutely|core English term used often in technical instructions and classroom communication about absolutely|A1|GSL|4995|noun|The students use absolutely while describing a lab task in English.|false
academic|core English term used often in technical instructions and classroom communication about academic|A1|GSL|4994|noun|The students use academic while describing a lab task in English.|false
accept|core English term used often in technical instructions and classroom communication about accept|A1|GSL|4993|noun|The students use accept while describing a lab task in English.|false
access|core English term used often in technical instructions and classroom communication about access|A1|GSL|4992|verb|The students use access while describing a lab task in English.|false
accident|core English term used often in technical instructions and classroom communication about accident|A1|GSL|4991|noun|The students use accident while describing a lab task in English.|false
accompany|core English term used often in technical instructions and classroom communication about accompany|A1|GSL|4990|noun|The students use accompany while describing a lab task in English.|false
according|core English term used often in technical instructions and classroom communication about according|A1|GSL|4989|noun|The students use according while describing a lab task in English.|false
account|core English term used often in technical instructions and classroom communication about account|A1|GSL|4988|noun|The students use account while describing a lab task in English.|false
achieve|core English term used often in technical instructions and classroom communication about achieve|A1|GSL|4987|noun|The students use achieve while describing a lab task in English.|false
achievement|core English term used often in technical instructions and classroom communication about achievement|A1|GSL|4986|noun|The students use achievement while describing a lab task in English.|false
acid|core English term used often in technical instructions and classroom communication about acid|A1|GSL|4985|noun|The students use acid while describing a lab task in English.|false
acquire|core English term used often in technical instructions and classroom communication about acquire|A1|GSL|4984|noun|The students use acquire while describing a lab task in English.|false
across|core English term used often in technical instructions and classroom communication about across|A1|GSL|4983|noun|The students use across while describing a lab task in English.|false
act|core English term used often in technical instructions and classroom communication about act|A1|GSL|4982|noun|The students use act while describing a lab task in English.|false
action|core English term used often in technical instructions and classroom communication about action|A1|GSL|4981|noun|The students use action while describing a lab task in English.|false
active|core English term used often in technical instructions and classroom communication about active|A1|GSL|4980|noun|The students use active while describing a lab task in English.|false
activity|core English term used often in technical instructions and classroom communication about activity|A1|GSL|4979|noun|The students use activity while describing a lab task in English.|false
actual|core English term used often in technical instructions and classroom communication about actual|A1|GSL|4978|noun|The students use actual while describing a lab task in English.|false
actually|core English term used often in technical instructions and classroom communication about actually|A1|GSL|4977|noun|The students use actually while describing a lab task in English.|false
add|core English term used often in technical instructions and classroom communication about add|A1|GSL|4976|noun|The students use add while describing a lab task in English.|false
addition|core English term used often in technical instructions and classroom communication about addition|A1|GSL|4975|noun|The students use addition while describing a lab task in English.|false
