term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
algorithm|computer science term used in software, data, networking, or platform work involving algorithm|A2|CSAWL|1200|noun|The developer documented the algorithm in the project wiki before deployment.|false
api|computer science term used in software, data, networking, or platform work involving api|A2|CSAWL|1199|noun|The developer documented the api in the project wiki before deployment.|false
array|computer science term used in software, data, networking, or platform work involving array|A2|CSAWL|1198|noun|The developer documented the array in the project wiki before deployment.|false
async|computer science term used in software, data, networking, or platform work involving async|A2|CSAWL|1197|adjective|The developer documented the async in the project wiki before deployment.|false
authentication|computer science term used in software, data, networking, or platform work involving authentication|A2|CSAWL|1196|noun|The developer documented the authentication in the project wiki before deployment.|false
authorization|computer science term used in software, data, networking, or platform work involving authorization|A2|CSAWL|1195|noun|The developer documented the authorization in the project wiki before deployment.|false
backend|computer science term used in software, data, networking, or platform work involving backend|A2|CSAWL|1194|noun|The developer documented the backend in the project wiki before deployment.|false
bandwidth|computer science term used in software, data, networking, or platform work involving bandwidth|A2|CSAWL|1193|noun|The developer documented the bandwidth in the project wiki before deployment.|false
binary|computer science term used in software, data, networking, or platform work involving binary|A2|CSAWL|1192|adjective|The developer documented the binary in the project wiki before deployment.|false
buffer|computer science term used in software, data, networking, or platform work involving buffer|A2|CSAWL|1191|noun|The developer documented the buffer in the project wiki before deployment.|false
cache|computer science term used in software, data, networking, or platform work involving cache|B1|CSAWL|1190|noun|The developer documented the cache in the project wiki before deployment.|false
callback|computer science term used in software, data, networking, or platform work involving callback|B1|CSAWL|1189|noun|The developer documented the callback in the project wiki before deployment.|false
class|computer science term used in software, data, networking, or platform work involving class|B1|CSAWL|1188|noun|The developer documented the class in the project wiki before deployment.|false
cluster|computer science term used in software, data, networking, or platform work involving cluster|B1|CSAWL|1187|noun|The developer documented the cluster in the project wiki before deployment.|false
compiler|computer science term used in software, data, networking, or platform work involving compiler|B1|CSAWL|1186|noun|The developer documented the compiler in the project wiki before deployment.|false
concurrency|computer science term used in software, data, networking, or platform work involving concurrency|B1|CSAWL|1185|noun|The developer documented the concurrency in the project wiki before deployment.|false
container|computer science term used in software, data, networking, or platform work involving container|B1|CSAWL|1184|noun|The developer documented the container in the project wiki before deployment.|false
cookie|computer science term used in software, data, networking, or platform work involving cookie|B1|CSAWL|1183|noun|The developer documented the cookie in the project wiki before deployment.|false
database|computer science term used in software, data, networking, or platform work involving database|B1|CSAWL|1182|noun|The developer documented the database in the project wiki before deployment.|false
debugger|computer science term used in software, data, networking, or platform work involving debugger|B1|CSAWL|1181|verb|The developer documented the debugger in the project wiki before deployment.|false
deployment|computer science term used in software, data, networking, or platform work involving deployment|B1|CSAWL|1180|verb|The developer documented the deployment in the project wiki before deployment.|false
deserializer|computer science term used in software, data, networking, or platform work involving deserializer|B1|CSAWL|1179|noun|The developer documented the deserializer in the project wiki before deployment.|false
encryption|computer science term used in software, data, networking, or platform work involving encryption|B1|CSAWL|1178|verb|The developer documented the encryption in the project wiki before deployment.|false
endpoint|computer science term used in software, data, networking, or platform work involving endpoint|B1|CSAWL|1177|noun|The developer documented the endpoint in the project wiki before deployment.|false
exception|computer science term used in software, data, networking, or platform work involving exception|B1|CSAWL|1176|noun|The developer documented the exception in the project wiki before deployment.|false
framework|computer science term used in software, data, networking, or platform work involving framework|B1|CSAWL|1175|noun|The developer documented the framework in the project wiki before deployment.|false
gateway|computer science term used in software, data, networking, or platform work involving gateway|B1|CSAWL|1174|noun|The developer documented the gateway in the project wiki before deployment.|false
git|computer science term used in software, data, networking, or platform work involving git|B1|CSAWL|1173|noun|The developer documented the git in the project wiki before deployment.|false
graphql|computer science term used in software, data, networking, or platform work involving graphql|B1|CSAWL|1172|noun|The developer documented the graphql in the project wiki before deployment.|false
hashing|computer science term used in software, data, networking, or platform work involving hashing|B1|CSAWL|1171|verb|The developer documented the hashing in the project wiki before deployment.|false
heap|computer science term used in software, data, networking, or platform work involving heap|B1|CSAWL|1170|noun|The developer documented the heap in the project wiki before deployment.|false
hypervisor|computer science term used in software, data, networking, or platform work involving hypervisor|B1|CSAWL|1169|noun|The developer documented the hypervisor in the project wiki before deployment.|false
indexer|computer science term used in software, data, networking, or platform work involving indexer|B1|CSAWL|1168|verb|The developer documented the indexer in the project wiki before deployment.|false
interface|computer science term used in software, data, networking, or platform work involving interface|B1|CSAWL|1167|noun|The developer documented the interface in the project wiki before deployment.|false
iterator|computer science term used in software, data, networking, or platform work involving iterator|B1|CSAWL|1166|verb|The developer documented the iterator in the project wiki before deployment.|false
javascript|computer science term used in software, data, networking, or platform work involving javascript|B1|CSAWL|1165|noun|The developer documented the javascript in the project wiki before deployment.|false
