term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
analysis|academic term frequently used in reports, explanations, and analysis related to analysis|A2|AWL|2000|noun|The report highlights analysis to explain the engineering result more clearly.|false
approach|academic term frequently used in reports, explanations, and analysis related to approach|A2|AWL|1999|noun|The report highlights approach to explain the engineering result more clearly.|false
area|academic term frequently used in reports, explanations, and analysis related to area|A2|AWL|1998|noun|The report highlights area to explain the engineering result more clearly.|false
assessment|academic term frequently used in reports, explanations, and analysis related to assessment|A2|AWL|1997|noun|The report highlights assessment to explain the engineering result more clearly.|false
assume|academic term frequently used in reports, explanations, and analysis related to assume|A2|AWL|1996|verb|The report highlights assume to explain the engineering result more clearly.|false
authority|academic term frequently used in reports, explanations, and analysis related to authority|A2|AWL|1995|noun|The report highlights authority to explain the engineering result more clearly.|false
available|academic term frequently used in reports, explanations, and analysis related to available|A2|AWL|1994|adjective|The report highlights available to explain the engineering result more clearly.|false
benefit|academic term frequently used in reports, explanations, and analysis related to benefit|A2|AWL|1993|noun|The report highlights benefit to explain the engineering result more clearly.|false
concept|academic term frequently used in reports, explanations, and analysis related to concept|A2|AWL|1992|noun|The report highlights concept to explain the engineering result more clearly.|false
consistent|academic term frequently used in reports, explanations, and analysis related to consistent|A2|AWL|1991|adjective|The report highlights consistent to explain the engineering result more clearly.|false
constitutional|academic term frequently used in reports, explanations, and analysis related to constitutional|A2|AWL|1990|adjective|The report highlights constitutional to explain the engineering result more clearly.|false
context|academic term frequently used in reports, explanations, and analysis related to context|A2|AWL|1989|noun|The report highlights context to explain the engineering result more clearly.|false
contract|academic term frequently used in reports, explanations, and analysis related to contract|A2|AWL|1988|noun|The report highlights contract to explain the engineering result more clearly.|false
create|academic term frequently used in reports, explanations, and analysis related to create|A2|AWL|1987|verb|The report highlights create to explain the engineering result more clearly.|false
data|academic term frequently used in reports, explanations, and analysis related to data|A2|AWL|1986|noun|The report highlights data to explain the engineering result more clearly.|false
definition|academic term frequently used in reports, explanations, and analysis related to definition|A2|AWL|1985|noun|The report highlights definition to explain the engineering result more clearly.|false
derive|academic term frequently used in reports, explanations, and analysis related to derive|A2|AWL|1984|verb|The report highlights derive to explain the engineering result more clearly.|false
distribution|academic term frequently used in reports, explanations, and analysis related to distribution|A2|AWL|1983|noun|The report highlights distribution to explain the engineering result more clearly.|false
economic|academic term frequently used in reports, explanations, and analysis related to economic|A2|AWL|1982|adjective|The report highlights economic to explain the engineering result more clearly.|false
environment|academic term frequently used in reports, explanations, and analysis related to environment|A2|AWL|1981|noun|The report highlights environment to explain the engineering result more clearly.|false
establish|academic term frequently used in reports, explanations, and analysis related to establish|B1|AWL|1980|verb|The report highlights establish to explain the engineering result more clearly.|false
estimate|academic term frequently used in reports, explanations, and analysis related to estimate|B1|AWL|1979|verb|The report highlights estimate to explain the engineering result more clearly.|false
evidence|academic term frequently used in reports, explanations, and analysis related to evidence|B1|AWL|1978|noun|The report highlights evidence to explain the engineering result more clearly.|false
export|academic term frequently used in reports, explanations, and analysis related to export|B1|AWL|1977|verb|The report highlights export to explain the engineering result more clearly.|false
factor|academic term frequently used in reports, explanations, and analysis related to factor|B1|AWL|1976|noun|The report highlights factor to explain the engineering result more clearly.|false
finance|academic term frequently used in reports, explanations, and analysis related to finance|B1|AWL|1975|noun|The report highlights finance to explain the engineering result more clearly.|false
formula|academic term frequently used in reports, explanations, and analysis related to formula|B1|AWL|1974|noun|The report highlights formula to explain the engineering result more clearly.|false
function|academic term frequently used in reports, explanations, and analysis related to function|B1|AWL|1973|noun|The report highlights function to explain the engineering result more clearly.|false
identified|academic term frequently used in reports, explanations, and analysis related to identified|B1|AWL|1972|noun|The report highlights identified to explain the engineering result more clearly.|false
income|academic term frequently used in reports, explanations, and analysis related to income|B1|AWL|1971|noun|The report highlights income to explain the engineering result more clearly.|false
indicate|academic term frequently used in reports, explanations, and analysis related to indicate|B1|AWL|1970|verb|The report highlights indicate to explain the engineering result more clearly.|false
individual|academic term frequently used in reports, explanations, and analysis related to individual|B1|AWL|1969|noun|The report highlights individual to explain the engineering result more clearly.|false
interpret|academic term frequently used in reports, explanations, and analysis related to interpret|B1|AWL|1968|verb|The report highlights interpret to explain the engineering result more clearly.|false
involve|academic term frequently used in reports, explanations, and analysis related to involve|B1|AWL|1967|verb|The report highlights involve to explain the engineering result more clearly.|false
issue|academic term frequently used in reports, explanations, and analysis related to issue|B1|AWL|1966|noun|The report highlights issue to explain the engineering result more clearly.|false
