term|definition|cefrLevel|layer|frequency|partOfSpeech|exampleSentence|protectedToken
actuator|engineering term used when discussing systems, materials, measurements, or processes involving actuator|A2|EEWL|1500|noun|The engineering team reviewed the actuator before starting the field test.|false
alloy|engineering term used when discussing systems, materials, measurements, or processes involving alloy|A2|EEWL|1499|noun|The engineering team reviewed the alloy before starting the field test.|false
amplitude|engineering term used when discussing systems, materials, measurements, or processes involving amplitude|A2|EEWL|1498|noun|The engineering team reviewed the amplitude before starting the field test.|false
bearing|engineering term used when discussing systems, materials, measurements, or processes involving bearing|A2|EEWL|1497|noun|The engineering team reviewed the bearing before starting the field test.|false
boiler|engineering term used when discussing systems, materials, measurements, or processes involving boiler|A2|EEWL|1496|noun|The engineering team reviewed the boiler before starting the field test.|false
calibration|engineering term used when discussing systems, materials, measurements, or processes involving calibration|A2|EEWL|1495|verb|The engineering team reviewed the calibration before starting the field test.|false
cantilever|engineering term used when discussing systems, materials, measurements, or processes involving cantilever|A2|EEWL|1494|noun|The engineering team reviewed the cantilever before starting the field test.|false
capacitor|engineering term used when discussing systems, materials, measurements, or processes involving capacitor|A2|EEWL|1493|noun|The engineering team reviewed the capacitor before starting the field test.|false
circuit|engineering term used when discussing systems, materials, measurements, or processes involving circuit|A2|EEWL|1492|noun|The engineering team reviewed the circuit before starting the field test.|false
compressor|engineering term used when discussing systems, materials, measurements, or processes involving compressor|A2|EEWL|1491|noun|The engineering team reviewed the compressor before starting the field test.|false
conductor|engineering term used when discussing systems, materials, measurements, or processes involving conductor|A2|EEWL|1490|noun|The engineering team reviewed the conductor before starting the field test.|false
coolant|engineering term used when discussing systems, materials, measurements, or processes involving coolant|A2|EEWL|1489|noun|The engineering team reviewed the coolant before starting the field test.|false
corrosion|engineering term used when discussing systems, materials, measurements, or processes involving corrosion|A2|EEWL|1488|noun|The engineering team reviewed the corrosion before starting the field test.|false
crankshaft|engineering term used when discussing systems, materials, measurements, or processes involving crankshaft|A2|EEWL|1487|noun|The engineering team reviewed the crankshaft before starting the field test.|false
current|engineering term used when discussing systems, materials, measurements, or processes involving current|A2|EEWL|1486|noun|The engineering team reviewed the current before starting the field test.|false
damping|engineering term used when discussing systems, materials, measurements, or processes involving damping|A2|EEWL|1485|noun|The engineering team reviewed the damping before starting the field test.|false
deflection|engineering term used when discussing systems, materials, measurements, or processes involving deflection|A2|EEWL|1484|noun|The engineering team reviewed the deflection before starting the field test.|false
diesel|engineering term used when discussing systems, materials, measurements, or processes involving diesel|A2|EEWL|1483|noun|The engineering team reviewed the diesel before starting the field test.|false
diode|engineering term used when discussing systems, materials, measurements, or processes involving diode|B1|EEWL|1482|noun|The engineering team reviewed the diode before starting the field test.|false
displacement|engineering term used when discussing systems, materials, measurements, or processes involving displacement|B1|EEWL|1481|noun|The engineering team reviewed the displacement before starting the field test.|false
ductility|engineering term used when discussing systems, materials, measurements, or processes involving ductility|B1|EEWL|1480|noun|The engineering team reviewed the ductility before starting the field test.|false
efficiency|engineering term used when discussing systems, materials, measurements, or processes involving efficiency|B1|EEWL|1479|noun|The engineering team reviewed the efficiency before starting the field test.|false
elasticity|engineering term used when discussing systems, materials, measurements, or processes involving elasticity|B1|EEWL|1478|noun|The engineering team reviewed the elasticity before starting the field test.|false
electrode|engineering term used when discussing systems, materials, measurements, or processes involving electrode|B1|EEWL|1477|noun|The engineering team reviewed the electrode before starting the field test.|false
emission|engineering term used when discussing systems, materials, measurements, or processes involving emission|B1|EEWL|1476|noun|The engineering team reviewed the emission before starting the field test.|false
fatigue|engineering term used when discussing systems, materials, measurements, or processes involving fatigue|B1|EEWL|1475|noun|The engineering team reviewed the fatigue before starting the field test.|false
fixture|engineering term used when discussing systems, materials, measurements, or processes involving fixture|B1|EEWL|1474|noun|The engineering team reviewed the fixture before starting the field test.|false
flowrate|engineering term used when discussing systems, materials, measurements, or processes involving flowrate|B1|EEWL|1473|noun|The engineering team reviewed the flowrate before starting the field test.|false
frequency|engineering term used when discussing systems, materials, measurements, or processes involving frequency|B1|EEWL|1472|noun|The engineering team reviewed the frequency before starting the field test.|false
friction|engineering term used when discussing systems, materials, measurements, or processes involving friction|B1|EEWL|1471|noun|The engineering team reviewed the friction before starting the field test.|false
gearbox|engineering term used when discussing systems, materials, measurements, or processes involving gearbox|B1|EEWL|1470|noun|The engineering team reviewed the gearbox before starting the field test.|false
generator|engineering term used when discussing systems, materials, measurements, or processes involving generator|B1|EEWL|1469|noun|The engineering team reviewed the generator before starting the field test.|false
gradient|engineering term used when discussing systems, materials, measurements, or processes involving gradient|B1|EEWL|1468|noun|The engineering team reviewed the gradient before starting the field test.|false
gusset|engineering term used when discussing systems, materials, measurements, or processes involving gusset|B1|EEWL|1467|noun|The engineering team reviewed the gusset before starting the field test.|false
hardness|engineering term used when discussing systems, materials, measurements, or processes involving hardness|B1|EEWL|1466|noun|The engineering team reviewed the hardness before starting the field test.|false
hydraulic|engineering term used when discussing systems, materials, measurements, or processes involving hydraulic|B1|EEWL|1465|adjective|The engineering team reviewed the hydraulic before starting the field test.|false
impeller|engineering term used when discussing systems, materials, measurements, or processes involving impeller|B1|EEWL|1464|noun|The engineering team reviewed the impeller before starting the field test.|false
insulation|engineering term used when discussing systems, materials, measurements, or processes involving insulation|B1|EEWL|1463|noun|The engineering team reviewed the insulation before starting the field test.|false
integrity|engineering term used when discussing systems, materials, measurements, or processes involving integrity|B1|EEWL|1462|noun|The engineering team reviewed the integrity before starting the field test.|false
inverter|engineering term used when discussing systems, materials, measurements, or processes involving inverter|B1|EEWL|1461|noun|The engineering team reviewed the inverter before starting the field test.|false
kinematics|engineering term used when discussing systems, materials, measurements, or processes involving kinematics|B1|EEWL|1460|noun|The engineering team reviewed the kinematics before starting the field test.|false
laminate|engineering term used when discussing systems, materials, measurements, or processes involving laminate|B1|EEWL|1459|noun|The engineering team reviewed the laminate before starting the field test.|false
loadcase|engineering term used when discussing systems, materials, measurements, or processes involving loadcase|B1|EEWL|1458|noun|The engineering team reviewed the loadcase before starting the field test.|false
lubrication|engineering term used when discussing systems, materials, measurements, or processes involving lubrication|B1|EEWL|1457|noun|The engineering team reviewed the lubrication before starting the field test.|false
machining|engineering term used when discussing systems, materials, measurements, or processes involving machining|B1|EEWL|1456|noun|The engineering team reviewed the machining before starting the field test.|false
manifold|engineering term used when discussing systems, materials, measurements, or processes involving manifold|B1|EEWL|1455|noun|The engineering team reviewed the manifold before starting the field test.|false
microgrid|engineering term used when discussing systems, materials, measurements, or processes involving microgrid|B1|EEWL|1454|noun|The engineering team reviewed the microgrid before starting the field test.|false
modulus|engineering term used when discussing systems, materials, measurements, or processes involving modulus|B1|EEWL|1453|noun|The engineering team reviewed the modulus before starting the field test.|false
momentum|engineering term used when discussing systems, materials, measurements, or processes involving momentum|B1|EEWL|1452|noun|The engineering team reviewed the momentum before starting the field test.|false
nozzle|engineering term used when discussing systems, materials, measurements, or processes involving nozzle|B1|EEWL|1451|noun|The engineering team reviewed the nozzle before starting the field test.|false
oscillation|engineering term used when discussing systems, materials, measurements, or processes involving oscillation|B1|EEWL|1450|noun|The engineering team reviewed the oscillation before starting the field test.|false
pipeline|engineering term used when discussing systems, materials, measurements, or processes involving pipeline|B1|EEWL|1449|noun|The engineering team reviewed the pipeline before starting the field test.|false
plasma|engineering term used when discussing systems, materials, measurements, or processes involving plasma|B1|EEWL|1448|noun|The engineering team reviewed the plasma before starting the field test.|false
polymer|engineering term used when discussing systems, materials, measurements, or processes involving polymer|B1|EEWL|1447|noun|The engineering team reviewed the polymer before starting the field test.|false
porosity|engineering term used when discussing systems, materials, measurements, or processes involving porosity|B1|EEWL|1446|noun|The engineering team reviewed the porosity before starting the field test.|false
pressure|engineering term used when discussing systems, materials, measurements, or processes involving pressure|B2|EEWL|1445|noun|The engineering team reviewed the pressure before starting the field test.|false
prototype|engineering term used when discussing systems, materials, measurements, or processes involving prototype|B2|EEWL|1444|noun|The engineering team reviewed the prototype before starting the field test.|false
pulleys|engineering term used when discussing systems, materials, measurements, or processes involving pulleys|B2|EEWL|1443|noun|The engineering team reviewed the pulleys before starting the field test.|false
reactor|engineering term used when discussing systems, materials, measurements, or processes involving reactor|B2|EEWL|1442|noun|The engineering team reviewed the reactor before starting the field test.|false
resistance|engineering term used when discussing systems, materials, measurements, or processes involving resistance|B2|EEWL|1441|noun|The engineering team reviewed the resistance before starting the field test.|false
rotor|engineering term used when discussing systems, materials, measurements, or processes involving rotor|B2|EEWL|1440|noun|The engineering team reviewed the rotor before starting the field test.|false
shear|engineering term used when discussing systems, materials, measurements, or processes involving shear|B2|EEWL|1439|noun|The engineering team reviewed the shear before starting the field test.|false
signal|engineering term used when discussing systems, materials, measurements, or processes involving signal|B2|EEWL|1438|noun|The engineering team reviewed the signal before starting the field test.|false
solenoid|engineering term used when discussing systems, materials, measurements, or processes involving solenoid|B2|EEWL|1437|noun|The engineering team reviewed the solenoid before starting the field test.|false
stability|engineering term used when discussing systems, materials, measurements, or processes involving stability|B2|EEWL|1436|noun|The engineering team reviewed the stability before starting the field test.|false
stator|engineering term used when discussing systems, materials, measurements, or processes involving stator|B2|EEWL|1435|noun|The engineering team reviewed the stator before starting the field test.|false
strain|engineering term used when discussing systems, materials, measurements, or processes involving strain|B2|EEWL|1434|noun|The engineering team reviewed the strain before starting the field test.|false
stress|engineering term used when discussing systems, materials, measurements, or processes involving stress|B2|EEWL|1433|noun|The engineering team reviewed the stress before starting the field test.|false
suspension|engineering term used when discussing systems, materials, measurements, or processes involving suspension|B2|EEWL|1432|noun|The engineering team reviewed the suspension before starting the field test.|false
tension|engineering term used when discussing systems, materials, measurements, or processes involving tension|B2|EEWL|1431|noun|The engineering team reviewed the tension before starting the field test.|false
thermal|engineering term used when discussing systems, materials, measurements, or processes involving thermal|B2|EEWL|1430|adjective|The engineering team reviewed the thermal before starting the field test.|false
thermocouple|engineering term used when discussing systems, materials, measurements, or processes involving thermocouple|B2|EEWL|1429|noun|The engineering team reviewed the thermocouple before starting the field test.|false
tolerance|engineering term used when discussing systems, materials, measurements, or processes involving tolerance|B2|EEWL|1428|noun|The engineering team reviewed the tolerance before starting the field test.|false
